Date,Tests,ConfirmedCases,Deaths
2020-01-30,,1,
2020-01-31,,2,
2020-02-03,,8,
2020-02-08,,9,
2020-02-09,,10,
2020-02-11,,11,
2020-02-12,,12,
2020-02-13,,13,
2020-02-14,,14,
2020-02-16,,15,
2020-02-17,,16,
2020-02-19,,17,
2020-02-21,,18,
2020-02-23,,22,
2020-02-24,,23,
2020-02-25,,27,
2020-02-26,,30,
2020-02-27,,36,
2020-02-28,,47,
2020-02-29,,51,
2020-03-01,,82,
2020-03-02,,121,
2020-03-03,,172,
2020-03-04,,221,
2020-03-05,,268,0
2020-03-06,,341,1
2020-03-07,,387,2
2020-03-08,,437,2
2020-03-09,,562,3
2020-03-10,,784,6
2020-03-11,,1149,6
2020-03-12,,1569,8
2020-03-13,,1958,10
2020-03-14,,2274,20
2020-03-15,,2672,34
2020-03-16,,3217,53
2020-03-17,,3896,67
2020-03-18,,4804,98
2020-03-19,,5736,135
2020-03-20,,6818,167
2020-03-21,,7848,222
2020-03-22,,9051,257
2020-03-23,,11075,303
2020-03-24,,13095,385
2020-03-25,,15356,412
2020-03-26,,17972,515
2020-03-27,,20624,679
2020-03-28,,23001,926
2020-03-29,,25436,1125
2020-03-30,,28922,1284
2020-03-31,,32669,1651
2020-04-01,,36743,2166
2020-04-02,,40747,2698
2020-04-03,,44778,3302
2020-04-04,,48094,3939
2020-04-05,,51109,4494
2020-04-06,,55389,4897
2020-04-07,,59812,5655
2020-04-08,,63971,6483
2020-04-09,,67895,7248
2020-04-10,,71359,8114
2020-04-11,,74279,8937
2020-04-12,,76894,9594
2020-04-13,,80171,10261
2020-04-14,,83504,11005
2020-04-15,,87128,11656
2020-04-16,,90571,12395
2020-04-17,,93989,13133
2020-04-18,,96467,13917
2020-04-19,,98390,14399
2020-04-20,,100988,14828
2020-04-21,,102089,15606
2020-04-22,,102221,16271
2020-04-23,,,16785
