Date,Tests,ConfirmedCases,Deaths
2020-01-30,,1,
2020-01-31,,2,
2020-02-03,,8,
2020-02-08,,9,
2020-02-09,,10,
2020-02-11,,11,
2020-02-12,,12,
2020-02-13,,13,
2020-02-14,,14,
2020-02-16,,15,
2020-02-17,,16,
2020-02-19,,17,
2020-02-21,,18,
2020-02-23,,22,
2020-02-24,,23,
2020-02-25,,27,
2020-02-26,,30,
2020-02-27,,36,
2020-02-28,,47,
2020-02-29,,51,
2020-03-01,,82,
2020-03-02,,121,
2020-03-03,,172,
2020-03-04,,221,
2020-03-05,,268,0
2020-03-06,,341,1
2020-03-07,,388,2
2020-03-08,,438,2
2020-03-09,,563,3
2020-03-10,,788,6
2020-03-11,,1153,6
2020-03-12,,1573,8
2020-03-13,,1963,10
2020-03-14,,2278,20
2020-03-15,,2675,34
2020-03-16,,3221,53
2020-03-17,,3901,67
2020-03-18,,4811,98
2020-03-19,,5742,135
2020-03-20,,6823,167
2020-03-21,,7857,222
2020-03-22,,9063,257
2020-03-23,,11080,303
2020-03-24,,13098,385
2020-03-25,,15360,412
2020-03-26,,17975,515
2020-03-27,,20630,679
2020-03-28,,23007,926
2020-03-29,,25443,1125
2020-03-30,,28928,1284
2020-03-31,,32677,1651
2020-04-01,,36754,2166
2020-04-02,,40759,2698
2020-04-03,,44794,3302
2020-04-04,,48115,3939
2020-04-05,,51136,4494
2020-04-06,,55419,4897
2020-04-07,,59842,5655
2020-04-08,,64004,6483
2020-04-09,,67928,7248
2020-04-10,,71399,8114
2020-04-11,,74336,8937
2020-04-12,,76957,9594
2020-04-13,,80229,10261
2020-04-14,,83583,11005
2020-04-15,,87216,11656
2020-04-16,,90659,12395
2020-04-17,,94065,13133
2020-04-18,,96600,13917
2020-04-19,,98655,14399
2020-04-20,,101719,14828
2020-04-21,,104669,15606
2020-04-22,,107243,16271
2020-04-23,,109330,16785
2020-04-24,,110116,17372
2020-04-25,,110203,18083
2020-04-26,,110203,18419
