Date,Tests,ConfirmedCases,Deaths
2020-02-12,21,0,0
2020-02-19,35,0,0
2020-02-26,52,0,0
2020-02-27,,1,0
2020-02-28,,1,0
2020-02-29,,1,0
2020-03-01,,1,0
2020-03-02,,1,0
2020-03-03,151,1,0
2020-03-04,,3,0
2020-03-05,,3,0
2020-03-06,186,3,0
2020-03-07,,7,0
2020-03-08,,12,0
2020-03-09,,12,0
2020-03-10,237,16,0
2020-03-11,246,18,0
2020-03-12,279,20,0
2020-03-13,321,29,0
2020-03-14,,34,0
2020-03-15,,45,0
2020-03-16,1171,52,0
2020-03-17,1338,62,0
2020-03-18,1482,68,0
2020-03-19,1646,77,1
2020-03-20,1816,86,1
2020-03-21,2186,108,1
2020-03-22,2484,128,2
2020-03-23,2692,148,2
2020-03-24,2989,172,4
2020-03-25,3372,209,7
2020-03-26,3716,241,10
2020-03-27,4014,275,13
2020-03-28,4286,324,15
2020-03-29,5028,410,15
2020-03-30,5541,533,21
2020-03-31,5885,586,22
2020-04-01,6450,689,28
2020-04-02,6899,774,30
2020-04-03,7525,904,36
2020-04-04,8034,998,48
2020-04-05,8486,1089,56
2020-04-06,8740,1158,63
2020-04-07,9158,1255,70
2020-04-08,9564,1339,73
2020-04-09,10203,1477,78
2020-04-10,11006,1589,82
2020-04-11,11765,1717,92
2020-04-12,12199,1806,107
2020-04-13,12633,1882,118
2020-04-14,13095,1967,124
2020-04-15,13672,2088,134
2020-04-16,14240,2201,140
2020-04-17,15025,2338,158
2020-04-18,15749,2486,176
2020-04-19,16490,2645,193
2020-04-20,,,194
2020-04-21,,,207
2020-04-22,16378,2874,220
2020-04-23,17236,3016,250
