Date,Tests,ConfirmedCases,Deaths
2020-01-24,2,0,0
2020-01-25,5,0,0
2020-01-26,6,0,0
2020-01-27,7,0,0
2020-01-28,11,0,0
2020-01-29,11,0,0
2020-01-30,16,0,0
2020-01-31,16,0,0
2020-02-01,16,0,0
2020-02-02,16,0,0
2020-02-03,26,0,0
2020-02-04,26,0,0
2020-02-05,31,0,0
2020-02-06,34,0,0
2020-02-07,38,0,0
2020-02-08,38,0,0
2020-02-09,41,0,0
2020-02-10,57,0,0
2020-02-11,82,0,0
2020-02-12,106,0,0
2020-02-13,148,0,0
2020-02-14,200,0,0
2020-02-15,224,0,0
2020-02-16,252,0,0
2020-02-17,264,0,0
2020-02-18,276,0,0
2020-02-19,306,0,0
2020-02-20,327,0,0
2020-02-21,368,0,0
2020-02-22,382,0,0
2020-02-23,393,0,0
2020-02-24,404,0,0
2020-02-25,412,0,0
2020-02-26,437,0,0
2020-02-27,470,0,0
2020-02-28,500,0,0
2020-02-29,630,0,0
2020-03-01,698,0,0
2020-03-02,815,1,0
2020-03-03,915,1,0
2020-03-04,1046,3,0
2020-03-05,1256,6,0
2020-03-06,1525,11,0
2020-03-07,1680,16,0
2020-03-08,1957,18,0
2020-03-09,2101,23,0
2020-03-10,2234,27,0
2020-03-11,2316,36,0
2020-03-12,2892,60,0
2020-03-13,3314,85,1
2020-03-14,3715,121,1
2020-03-15,4240,153,1
2020-03-16,4895,171,2
2020-03-17,5246,195,3
2020-03-18,6091,227,6
2020-03-19,6772,266,6
2020-03-20,7550,322,7
2020-03-21,8259,373,10
2020-03-22,8679,416,14
2020-03-23,9364,499,16
2020-03-24,9968,584,22
2020-03-25,10676,719,25
2020-03-26,11487,894,33
2020-03-27,12273,1059,40
2020-03-28,13133,1245,41
2020-03-29,13889,1384,47
2020-03-30,14624,1563,69
2020-03-31,15895,1993,97
2020-04-01,17007,2310,126
2020-04-02,18128,2602,172
2020-04-03,19535,3001,218
2020-04-04,20798,3345,220
2020-04-05,23143,3706,222
2020-04-06,24036,3961,296
2020-04-07,25022,4229,366
2020-04-08,26226,4565,447
2020-04-09,27518,4957,495
2020-04-10,28652,5275,542
2020-04-11,29903,5590,566
2020-04-12,31114,5912,575
2020-04-13,31813,6067,615
2020-04-14,32855,6358,699
2020-04-15,34064,6748,779
2020-04-16,35392,7102,837
2020-04-17,36637,7409,893
2020-04-18,38233,7820,903
2020-04-19,39612,8187,915
2020-04-20,40700,8450,985
2020-04-21,41699,8672,1062
2020-04-22,43309,9038,1120
2020-04-23,44799,9409,1120
2020-04-24,46089,9697,
