Date,Tests,ConfirmedCases,Deaths
2019-12-31,,0,
2020-01-01,,0,
2020-01-02,,0,
2020-01-03,,0,
2020-01-04,,0,
2020-01-05,,0,
2020-01-06,,0,
2020-01-07,,0,
2020-01-08,,0,
2020-01-09,,0,
2020-01-10,,0,
2020-01-11,,0,
2020-01-12,,0,
2020-01-13,,0,
2020-01-14,,0,
2020-01-15,,0,
2020-01-16,,0,
2020-01-17,,0,
2020-01-18,,0,
2020-01-19,,0,
2020-01-20,,0,
2020-01-21,,0,
2020-01-22,,0,
2020-01-23,,0,
2020-01-24,,0,
2020-01-25,31,0,0
2020-01-26,52,0,0
2020-01-27,73,0,0
2020-01-28,97,0,0
2020-01-29,130,0,0
2020-01-30,161,0,0
2020-01-31,177,2,0
2020-02-01,203,2,0
2020-02-02,266,2,0
2020-02-03,326,2,0
2020-02-04,416,2,0
2020-02-05,468,2,0
2020-02-06,566,2,0
2020-02-07,620,3,0
2020-02-08,686,3,0
2020-02-09,795,4,0
2020-02-10,1114,4,0
2020-02-11,1358,8,0
2020-02-12,1758,8,0
2020-02-13,2521,9,0
2020-02-14,2964,9,0
2020-02-15,2992,9,0
2020-02-16,3109,9,0
2020-02-17,4501,9,0
2020-02-18,4916,9,0
2020-02-19,5207,9,0
2020-02-20,5549,9,0
2020-02-21,5885,9,0
2020-02-22,6152,9,0
2020-02-23,6324,9,0
2020-02-24,6536,13,0
2020-02-25,6795,13,0
2020-02-26,7132,13,0
2020-02-27,7690,13,0
2020-02-28,8986,16,0
2020-02-29,10483,18,0
2020-03-01,11750,23,0
2020-03-02,13525,36,0
2020-03-03,13911,40,0
2020-03-04,16659,51,0
2020-03-05,18083,85,0
2020-03-06,20338,115,1
2020-03-07,21460,163,2
2020-03-08,23513,206,2
2020-03-09,24960,273,3
2020-03-10,26261,321,6
2020-03-11,27476,373,6
2020-03-12,29764,456,8
2020-03-13,32771,590,8
2020-03-14,37746,707,21
2020-03-15,40279,1140,35
2020-03-16,44105,1391,55
2020-03-17,50442,1543,71
2020-03-18,56221,1950,103
2020-03-19,64621,2630,144
2020-03-20,66976,3277,177
2020-03-21,72818,3983,233
2020-03-22,78340,5018,281
2020-03-23,83945,5683,335
2020-03-24,90436,6650,422
2020-03-25,97019,8077,463
2020-03-26,104866,9529,578
2020-03-27,113777,11658,759
2020-03-28,120776,14543,1019
2020-03-29,127737,17089,1228
2020-03-30,134946,19522,1408
2020-03-31,143186,22141,1789
2020-04-01,152979,25150,2352
2020-04-02,163194,29474,2921
2020-04-03,173784,33718,3605
2020-04-04,183190,38168,4313
2020-04-05,195524,41903,4934
2020-04-06,208837,47806,5373
2020-04-07,213181,51608,6159
2020-04-08,232708,55242,7097
2020-04-09,243421,60733,7978
2020-04-10,256605,65077,8958
2020-04-11,269598,70272,9875
2020-04-12,282374,78991,10612
2020-04-13,290720,84279,11329
2020-04-14,302599,88621,12107
2020-04-15,313769,93873,12868
2020-04-16,327608,98476,13729
2020-04-17,341551,103093,14576
2020-04-18,357023,108692,15464
2020-04-19,372967,114217,16060
2020-04-20,386044,120067,16509
2020-04-21,397670,124743,17337
2020-04-22,411192,129044,18100
2020-04-23,425821,133495,18738
