Date,Tests,ConfirmedCases,Deaths
2020-02-20,5549,9,0
2020-02-21,5885,9,0
2020-02-22,6152,9,0
2020-02-23,6324,13,0
2020-02-24,6536,13,0
2020-02-25,6795,13,0
2020-02-26,7132,13,0
2020-02-27,7690,15,0
2020-02-28,8986,20,0
2020-02-29,10483,23,0
2020-03-01,11750,35,0
2020-03-02,13525,40,0
2020-03-03,13911,51,0
2020-03-04,16659,85,0
2020-03-05,18083,115,0
2020-03-06,20338,163,1
2020-03-07,21460,206,2
2020-03-08,23513,273,2
2020-03-09,24960,319,3
2020-03-10,26261,373,6
2020-03-11,27476,456,6
2020-03-12,29764,590,8
2020-03-13,32771,798,10
2020-03-14,37746,1140,21
2020-03-15,40279,1372,35
2020-03-16,44105,1543,55
2020-03-17,50442,1950,60
2020-03-18,56221,2626,
