Date,Country,AreaCode,Area,TotalCases
2020-04-03,Northern Ireland,N09000001,Antrim and Newtownabbey,59
2020-04-03,Northern Ireland,N09000011,Ards and North Down,81
2020-04-03,Northern Ireland,N09000002,"Armagh, Banbridge and Craigavon",91
2020-04-03,Northern Ireland,N09000003,Belfast,272
2020-04-03,Northern Ireland,N09000004,Causeway Coast and Glens,21
2020-04-03,Northern Ireland,N09000005,Derry and Strabane,35
2020-04-03,Northern Ireland,N09000006,Fermanagh and Omagh,40
2020-04-03,Northern Ireland,N09000007,Lisburn and Castlereagh,109
2020-04-03,Northern Ireland,N09000008,Mid and East Antrim,46
2020-04-03,Northern Ireland,N09000009,Mid Ulster,23
2020-04-03,Northern Ireland,N09000010,"Newry, Mourne and Down",61
2020-04-03,Northern Ireland,,Unknown,66
