Date,Country,AreaCode,Area,TotalCases
2020-04-05,Scotland,S08000015,Ayrshire and Arran,267
2020-04-05,Scotland,S08000016,Borders,130
2020-04-05,Scotland,S08000017,Dumfries and Galloway,141
2020-04-05,Scotland,S08000029,Fife,200
2020-04-05,Scotland,S08000019,Forth Valley,226
2020-04-05,Scotland,S08000020,Grampian,194
2020-04-05,Scotland,S08000031,Greater Glasgow and Clyde,931
2020-04-05,Scotland,S08000022,Highland,99
2020-04-05,Scotland,S08000032,Lanarkshire,478
2020-04-05,Scotland,S08000024,Lothian,534
2020-04-05,Scotland,S08000025,Orkney,4
2020-04-05,Scotland,S08000026,Shetland,41
2020-04-05,Scotland,S08000030,Tayside,457
2020-04-05,Scotland,S08000028,Western Isles,4
