"Area name","Area code","Area type","Specimen date","Daily lab-confirmed cases","Cumulative lab-confirmed cases"
"England","E92000001","Country","2020-04-14",134,76371
"West Midlands","E12000005","Region","2020-04-14",11,7956
"East of England","E12000006","Region","2020-04-14",1,6232
"North West","E12000002","Region","2020-04-14",2,11591
"East Midlands","E12000004","Region","2020-04-14",9,4440
"South West","E12000009","Region","2020-04-14",5,3774
"London","E12000007","Region","2020-04-14",42,18951
"Yorkshire and The Humber","E12000003","Region","2020-04-14",22,5790
"North East","E12000001","Region","2020-04-14",0,4420
"South East","E12000008","Region","2020-04-14",29,10214
"Barking and Dagenham","E09000002","Upper tier local authority","2020-04-14",4,347
"Barnet","E09000003","Upper tier local authority","2020-04-14",0,977
"Barnsley","E08000016","Upper tier local authority","2020-04-14",0,379
"Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-14",0,139
"Bedford","E06000055","Upper tier local authority","2020-04-14",0,239
"Bexley","E09000004","Upper tier local authority","2020-04-14",6,446
"Birmingham","E08000025","Upper tier local authority","2020-04-14",0,1931
"Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-14",0,173
"Blackpool","E06000009","Upper tier local authority","2020-04-14",0,174
"Bolton","E08000001","Upper tier local authority","2020-04-14",0,424
"Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-14",0,255
"Bracknell Forest","E06000036","Upper tier local authority","2020-04-14",0,134
"Bradford","E08000032","Upper tier local authority","2020-04-14",1,493
"Brent","E09000005","Upper tier local authority","2020-04-14",0,1063
"Brighton and Hove","E06000043","Upper tier local authority","2020-04-14",0,227
"Bristol, City of","E06000023","Upper tier local authority","2020-04-14",2,369
"Bromley","E09000006","Upper tier local authority","2020-04-14",0,785
"Buckinghamshire","E10000002","Upper tier local authority","2020-04-14",0,521
"Bury","E08000002","Upper tier local authority","2020-04-14",0,256
"Calderdale","E08000033","Upper tier local authority","2020-04-14",5,160
"Cambridgeshire","E10000003","Upper tier local authority","2020-04-14",0,408
