Age group,Sex,Cases,Testing episodes
<10,Male,63,4647
<10,Female,58,4217
<10,Unknown,0,76
10-19,Male,115,4125
10-19,Female,154,5507
10-19,Unknown,1,49
20-29,Male,667,12760
20-29,Female,1547,25307
20-29,Unknown,45,294
30-39,Male,836,13537
30-39,Female,1585,26281
30-39,Unknown,32,246
40-49,Male,869,11997
40-49,Female,1869,25045
40-49,Unknown,28,244
50-59,Male,1102,13584
50-59,Female,2209,29302
50-59,Unknown,9,173
60-69,Male,709,9740
60-69,Female,927,14725
60-69,Unknown,5,86
70-79,Male,889,8909
70-79,Female,692,8883
70-79,Unknown,0,49
80-89,Male,891,7816
80-89,Female,1078,12355
80-89,Unknown,0,50
90-99,Male,294,2610
90-99,Female,631,7834
90-99,Unknown,0,20
100+,Male,1,70
100+,Female,28,432
100+,Unknown,0,3
Unknown,Male,4,68
Unknown,Female,0,68
Unknown,Unknown,1,37
