Date of death,Daily deaths,Cumulative deaths
2020-10-28,0,1848
2020-10-27,11,1848
2020-10-26,11,1837
2020-10-25,12,1826
2020-10-24,12,1814
2020-10-23,10,1802
2020-10-22,24,1792
2020-10-21,12,1768
2020-10-20,4,1756
2020-10-19,12,1752
2020-10-18,11,1740
2020-10-17,4,1729
2020-10-16,6,1725
2020-10-15,7,1719
2020-10-14,6,1712
2020-10-13,8,1706
2020-10-12,4,1698
2020-10-11,4,1694
2020-10-10,3,1690
2020-10-09,6,1687
2020-10-08,6,1681
2020-10-07,11,1675
2020-10-06,4,1664
2020-10-05,10,1660
2020-10-04,3,1650
2020-10-03,8,1647
2020-10-02,2,1639
2020-10-01,5,1637
2020-09-30,4,1632
2020-09-29,4,1628
2020-09-28,3,1624
2020-09-27,3,1621
2020-09-26,2,1618
2020-09-25,1,1616
2020-09-24,0,1615
2020-09-23,3,1615
2020-09-22,3,1612
2020-09-21,1,1609
2020-09-20,1,1608
2020-09-19,0,1607
2020-09-18,0,1607
2020-09-17,2,1607
2020-09-16,2,1605
2020-09-15,1,1603
2020-09-14,0,1602
2020-09-13,1,1602
2020-09-12,0,1601
2020-09-11,1,1601
2020-09-10,0,1600
2020-09-09,0,1600
2020-09-08,0,1600
2020-09-07,0,1600
2020-09-06,0,1600
2020-09-05,0,1600
2020-09-04,0,1600
2020-09-03,1,1600
2020-09-02,0,1599
2020-09-01,0,1599
2020-08-31,2,1599
2020-08-30,0,1597
2020-08-29,0,1597
2020-08-28,0,1597
2020-08-27,0,1597
2020-08-26,0,1597
2020-08-25,0,1597
2020-08-24,1,1597
2020-08-23,0,1596
2020-08-22,1,1596
2020-08-21,0,1595
2020-08-20,0,1595
2020-08-19,0,1595
2020-08-18,2,1595
2020-08-17,0,1593
2020-08-16,0,1593
2020-08-15,0,1593
2020-08-14,1,1593
2020-08-13,1,1592
2020-08-12,1,1591
2020-08-11,0,1590
2020-08-10,2,1590
2020-08-09,0,1588
2020-08-08,2,1588
2020-08-07,5,1586
2020-08-06,0,1581
2020-08-05,3,1581
2020-08-04,4,1578
2020-08-03,1,1574
2020-08-02,2,1573
2020-08-01,2,1571
2020-07-31,4,1569
2020-07-30,2,1565
2020-07-29,4,1563
2020-07-28,2,1559
2020-07-27,1,1557
2020-07-26,2,1556
2020-07-25,2,1554
2020-07-24,1,1552
2020-07-23,0,1551
2020-07-22,1,1551
2020-07-21,1,1550
2020-07-20,0,1549
2020-07-19,0,1549
2020-07-18,0,1549
2020-07-17,0,1549
2020-07-16,1,1549
2020-07-15,0,1548
2020-07-14,1,1548
2020-07-13,2,1547
2020-07-12,0,1545
2020-07-11,1,1545
2020-07-10,0,1544
2020-07-09,1,1544
2020-07-08,1,1543
2020-07-07,1,1542
2020-07-06,2,1541
2020-07-05,2,1539
2020-07-04,2,1537
2020-07-03,0,1535
2020-07-02,3,1535
2020-07-01,4,1532
2020-06-30,4,1528
2020-06-29,3,1524
2020-06-28,2,1521
2020-06-27,6,1519
2020-06-26,2,1513
2020-06-25,9,1511
2020-06-24,6,1502
2020-06-23,1,1496
2020-06-22,2,1495
2020-06-21,5,1493
2020-06-20,3,1488
2020-06-19,4,1485
2020-06-18,0,1481
2020-06-17,1,1481
2020-06-16,8,1480
2020-06-15,6,1472
2020-06-14,7,1466
2020-06-13,6,1459
2020-06-12,4,1453
2020-06-11,5,1449
2020-06-10,7,1444
2020-06-09,4,1437
2020-06-08,7,1433
2020-06-07,8,1426
2020-06-06,9,1418
2020-06-05,4,1409
2020-06-04,12,1405
2020-06-03,7,1393
2020-06-02,5,1386
2020-06-01,9,1381
2020-05-31,7,1372
2020-05-30,10,1365
2020-05-29,11,1355
2020-05-28,16,1344
2020-05-27,6,1328
2020-05-26,10,1322
2020-05-25,10,1312
2020-05-24,12,1302
2020-05-23,7,1290
2020-05-22,10,1283
2020-05-21,9,1273
2020-05-20,7,1264
2020-05-19,11,1257
2020-05-18,10,1246
2020-05-17,11,1236
2020-05-16,13,1225
2020-05-15,16,1212
2020-05-14,12,1196
2020-05-13,16,1184
2020-05-12,11,1168
2020-05-11,15,1157
2020-05-10,10,1142
2020-05-09,7,1132
2020-05-08,13,1125
2020-05-07,19,1112
2020-05-06,23,1093
2020-05-05,17,1070
2020-05-04,23,1053
2020-05-03,14,1030
2020-05-02,14,1016
2020-05-01,29,1002
2020-04-30,16,973
2020-04-29,26,957
2020-04-28,15,931
2020-04-27,16,916
2020-04-26,16,900
2020-04-25,29,884
2020-04-24,31,855
2020-04-23,18,824
2020-04-22,23,806
2020-04-21,30,783
2020-04-20,25,753
2020-04-19,26,728
2020-04-18,32,702
2020-04-17,29,670
2020-04-16,35,641
2020-04-15,38,606
2020-04-14,26,568
2020-04-13,43,542
2020-04-12,37,499
2020-04-11,31,462
2020-04-10,25,431
2020-04-09,43,406
2020-04-08,42,363
2020-04-07,32,321
2020-04-06,20,289
2020-04-05,30,269
2020-04-04,31,239
2020-04-03,29,208
2020-04-02,28,179
2020-04-01,21,151
2020-03-31,15,130
2020-03-30,16,115
2020-03-29,18,99
2020-03-28,15,81
2020-03-27,10,66
2020-03-26,11,56
2020-03-25,10,45
2020-03-24,9,35
2020-03-23,4,26
2020-03-22,5,22
2020-03-21,7,17
2020-03-20,2,10
2020-03-19,3,8
2020-03-18,0,5
2020-03-17,0,5
2020-03-16,3,5
2020-03-15,0,2
,2,2
